"PLOT","lat_fuzzed","lon_fuzzed","elev_fuzzed","tc3","forind","tc3for","annpre","anntmp","smrtp","ndvi","totvol","psmevol","tshevol","totbiom","numtree","cover"
7322,44.723285,-123.625544,1300,-415,1,-415,779,1069,273,0.751570105552673,309.24488859,309.24488859,0,184.67556069,267.67647945,81
7330,44.71332,-122.95901,300,-2545,0,0,702,1153,325,0.60079300403595,0,0,0,0,0,0
7339,44.741463,-122.237323,4500,-609,1,-609,786,689,202,0.728499293327332,59.72212752,21.07158209,0,44.77327546,267.67647945,56.11111111
7342,44.710111,-121.996107,3500,-208,1,-208,759,765,238,0.707012414932251,458.42803166,274.95316755,105.46563938,301.12408721,468.34889163,78
7343,44.710671,-121.931952,4500,-579,1,-579,764,629,208,0.703589200973511,307.19363428,229.57408434,0,192.58292147,12.345236595,59.55555556
7344,44.71727,-121.86682,4900,-379,1,-379,768,612,207,0.699819982051849,105.33822709,0,0,115.33918904,966.60950914,69.33333333
7412,44.763311,-123.715728,1500,-56,1,-56,784,1022,254,0.832508683204651,183.75842186,176.44813336,5.4950031589,134.79768603,743.54577626,83.88888889
7413,44.76682,-123.654382,2300,-145,1,-145,827,967,246,0.816570818424225,629.23691767,454.12502585,175.11189182,379.61593097,594.83662101,86.77777778
7414,44.726171,-123.556438,1300,-1162,1,-1162,782,1034,276,0.704575538635254,0,0,0,2.3373775799,0,73.22222222
7415,44.757323,-123.519287,900,-218,1,-218,759,1070,303,0.733505189418793,715.69496198,665.97966501,0,406.44201746,344.5001044,81.88888889
7416,44.758018,-123.436927,500,-345,1,-345,729,1126,328,0.825299024581909,71.112530964,53.081797453,0,52.122516284,475.86929681,85.22222222
7417,44.768357,-123.37219,300,-1470,0,0,716,1153,336,0.817369163036346,0,0,0,0,0,0
7418,44.76088,-123.303948,500,-2221,0,0,702,1132,333,0.310465753078461,0,0,0,0,0,0
7419,44.764458,-123.237715,300,-2198,0,0,695,1140,333,0.667255580425262,0,0,0,0,0,7.555555556
7421,44.744582,-123.051643,300,-2079,0,0,698,1162,333,0.836638689041138,0,0,0,0,0,0
7422,44.762455,-122.959556,700,-821,0,0,711,1117,312,0.723671317100525,0,0,0,0,0,48.88888889
7423,44.755574,-122.896896,300,-986,0,0,710,1144,316,0.650911390781403,0,0,0,0,0,0
7429,44.765098,-122.483597,1300,-534,0,0,747,1009,271,0.658491671085358,0,0,0,3.6229670523,0,5
7430,44.760774,-122.408998,1100,-403,1,-403,748,1014,272,0.760260999202728,479.4984631,471.92059876,1.9322447362,281.69453172,282.54739498,74.55555556
7431,44.764045,-122.329762,1500,-341,1,-341,762,982,262,0.764929413795471,422.5177665,374.28138014,39.064344403,244.02393111,312.23259442,80.55555556
7432,44.721298,-122.165515,1700,-85,1,-85,762,995,283,0.673774361610413,563.06168949,545.25271136,0,336.79249364,277.49603712,76.11111111
7433,44.744407,-122.0913,3700,-286,1,-286,774,782,235,0.777456104755402,264.7585289,207.64884354,53.666438602,172.75792585,428.7308713,71.88888889
7434,44.736632,-122.032515,4100,-1291,1,-1291,765,737,229,0.716712355613708,78.768916919,4.9943157838,49.323513383,65.052439282,225.5327802,26.55555556
7435,44.762979,-121.992753,2900,-112,1,-112,752,814,255,0.748229265213013,363.50665369,363.50665369,0,224.09661601,594.83662101,84.55555556
7436,44.763804,-121.928207,2700,-114,1,-114,756,772,247,0.745631039142609,1087.4608106,674.35550716,347.97448465,651.30383737,304.65555763,76
7504,44.810324,-123.720848,900,-497,1,-497,799,1060,264,0.814887225627899,149.16592754,107.55363247,41.612295067,103.61477784,101.57072975,70.44444444
7505,44.752765,-123.585232,1300,-214,1,-214,806,1025,261,0.782399356365204,1035.09759,801.45978984,233.63780016,611.15638597,153.47735506,77.55555556
7506,44.774859,-123.537024,2300,-145,0,0,790,917,258,0.736057877540588,449.48904221,449.48904221,0,282.74342986,716.27299253,0
7507,44.780181,-123.466835,700,-1651,1,-1651,749,1084,312,0.771291375160217,0,0,0,2.2111087067,0,70.88888889
7508,44.785648,-123.399718,300,-1927,0,0,732,1137,330,0.676148295402527,0,0,0,0,0,0
7509,44.799374,-123.339135,300,-2176,0,0,708,1155,339,0.749871969223022,0,0,0,0,0,0
7510,44.810673,-123.296685,300,-1458,0,0,700,1146,336,0.75341534614563,0,0,0,0,0,4.111111111
7511,44.763031,-123.163259,300,-2223,0,0,696,1152,334,0.444515407085419,0,0,0,0,0,0
7512,44.761171,-123.09664,100,-1744,0,0,696,1162,335,0.601975977420807,0,0,0,0,0,0
